Id,SalePrice
1461,118152.7578125
1462,144233.703125
1463,187731.953125
1464,194627.921875
1465,188429.359375
1466,175780.71875
1467,175780.71875
1468,165547.453125
1469,187731.953125
1470,114720.375
1471,200864.21875
1472,92598.3046875
1473,99244.5703125
1474,147155.71875
1475,114720.375
1476,355101.0
1477,246997.171875
1478,275899.5625
1479,275899.5625
1480,435637.03125
1481,326085.34375
1482,201716.265625
1483,181153.875
1484,171406.828125
1485,175780.71875
1486,194627.921875
1487,333949.5625
1488,235534.78125
1489,194627.921875
1490,238136.109375
1491,200864.21875
1492,86542.8046875
1493,212017.4375
1494,263767.59375
1495,275047.53125
1496,248428.640625
1497,175780.71875
1498,165547.453125
1499,165547.453125
1500,158557.828125
1501,181153.875
1502,153214.578125
1503,270135.34375
1504,235534.78125
1505,215631.453125
1506,195754.765625
1507,259389.640625
1508,195754.765625
1509,165343.46875
1510,144233.703125
1511,150305.390625
1512,175780.71875
1513,144233.703125
1514,165547.453125
1515,205582.34375
1516,144233.703125
1517,165547.453125
1518,117133.109375
1519,222768.8125
1520,128188.1328125
1521,129964.7421875
1522,165547.453125
1523,102075.7578125
1524,118152.7578125
1525,120386.328125
1526,114720.375
1527,105390.4453125
1528,138606.15625
1529,138606.15625
1530,194616.125
1531,124125.7578125
1532,105390.4453125
1533,148724.390625
1534,118152.7578125
1535,162528.15625
1536,114720.375
1537,68049.1953125
1538,181153.875
1539,181828.515625
1540,106916.1171875
1541,132532.4375
1542,132544.234375
1543,203063.359375
1544,92598.3046875
1545,117133.109375
1546,124125.7578125
1547,138606.15625
1548,132544.234375
1549,109396.6796875
1550,128188.1328125
1551,114720.375
1552,138606.15625
1553,138606.15625
1554,124125.7578125
1555,158557.828125
1556,86542.8046875
1557,89239.7109375
1558,100237.8203125
1559,80555.53125
1560,128188.1328125
1561,129964.7421875
1562,126376.03125
1563,118152.7578125
1564,155735.21875
1565,144233.703125
1566,258262.796875
1567,80555.53125
1568,214598.921875
1569,128188.1328125
1570,129964.7421875
1571,120705.328125
1572,138606.15625
1573,248428.640625
1574,106916.1171875
1575,245032.140625
1576,238093.4375
1577,180676.234375
1578,134089.3125
1579,143756.0625
1580,194150.28125
1581,158080.1875
1582,127710.4921875
1583,297588.875
1584,220174.109375
1585,143756.0625
1586,79785.15625
1587,102075.7578125
1588,150305.390625
1589,114720.375
1590,134089.3125
1591,89937.1171875
1592,117921.046875
1593,124125.7578125
1594,129964.7421875
1595,92598.3046875
1596,212017.4375
1597,162528.15625
1598,200864.21875
1599,181851.28125
1600,176478.125
1601,59236.8203125
1602,106191.65625
1603,72435.21875
1604,270832.75
1605,258262.796875
1606,162528.15625
1607,158557.828125
1608,212017.4375
1609,165547.453125
1610,162528.15625
1611,141056.890625
1612,175780.71875
1613,165547.453125
1614,126376.03125
1615,92598.3046875
1616,80555.53125
1617,86542.8046875
1618,118152.7578125
1619,144233.703125
1620,165547.453125
1621,147155.71875
1622,144233.703125
1623,285287.125
1624,212017.4375
1625,109396.6796875
1626,158557.828125
1627,194627.921875
1628,275047.53125
1629,181153.875
1630,394321.875
1631,208024.671875
1632,238093.4375
1633,165547.453125
1634,194627.921875
